id,timestamp,source,latitude,longitude,emotion,confidence,risk_level,rms_energy,zero_crossing_rate,spectral_centroid,spectral_bandwidth,mfcc_mean,mfcc_std,duration,silence_ratio,model_version,device_id,mqtt_signal,processing_time_ms
722fdc3a-16a4-421d-9724-c283ee41813c,2026-03-03T06:58:37,synthetic,28.61118137,77.04138753,fear,81.98408108,✅ SAFE,0.02835805,0.061673754,1459.662872,1840.881862,-7.084687398,79.27903059,3,0.454208709,v1.0,device_001,S,2.014238027
a0e3d315-1792-4a2c-a2de-c8a91839ff5b,2026-03-04T06:31:27,synthetic,28.62434209,77.18651314,disgust,100,✅ SAFE,0.020452175,0.043139639,1963.174009,2112.32822,-5.85279774,57.67354247,3,0.662847705,v1.0,device_001,S,1.678301505
60e40a1d-d43d-4f6f-b4e8-965f7ead628b,2026-03-05T21:48:37,synthetic,28.6045518,77.21074891,disgust,63.22535987,✅ SAFE,0.0182288,0.093860718,1408.148349,1715.658872,-6.244744066,47.39944816,3,0.549215512,v1.0,device_001,S,2.02789896
9bad8f6f-7020-4fbc-939b-575d5261e0da,2026-03-02T15:00:05,synthetic,28.64410297,77.2242783,neutral,70.19235121,✅ SAFE,0.021758936,0.103083431,2185.875516,1831.602639,-8.758517552,84.47258904,3,0.842846273,v1.0,device_001,S,3.169159234
d9a2238f-591c-414d-aeb6-88e5a3489d59,2026-03-03T10:53:08,synthetic,28.62421207,77.22475442,angry,82.05461593,✅ SAFE,0.032234739,0.074459993,1778.62963,1870.615609,-6.742875954,74.0831496,3,0.617184514,v1.0,device_001,S,1.558386655
07a456d1-f459-49e4-9618-d98bd5f53472,2026-03-06T20:00:33,synthetic,28.57930242,77.19672286,neutral,100,⚠️ CAUTION,0.011564089,0.066904514,1347.00474,1752.520422,-9.34609699,71.13394632,3,0.548851932,v1.0,device_001,C,1.618024348
2a54f6cd-f8b8-4ead-ab36-183a1ebfec2b,2026-03-06T13:08:55,synthetic,28.61890604,77.22030356,angry,70.738296,✅ SAFE,0.032536329,0.080396488,1538.25653,1613.047678,-7.530963896,63.0791117,3,0.705614428,v1.0,device_001,S,1.635374902
1ca2aef1-08f8-4513-a06e-3e5c10e788d1,2026-03-04T10:14:08,synthetic,28.6050147,77.0389576,angry,67.87664144,✅ SAFE,0.044676038,0.09928323,2032.292879,1767.675385,-6.71990983,59.16455709,3,0.684521187,v1.0,device_001,S,2.291043688
b31dfb5c-8e4d-456e-abf9-8694ba580680,2026-03-01T07:34:12,synthetic,28.60359957,77.0389639,angry,85.14214161,✅ SAFE,0.006789164,0.056610171,2098.094695,1504.883779,-6.696210832,73.11236598,3,0.804083678,v1.0,device_001,S,1.89757009
f9fae6e9-bb9a-4742-b9a8-24eb2734d6d4,2026-03-06T15:36:59,synthetic,28.60413628,77.03769781,sad,70.25377197,✅ SAFE,0.027955466,0.097027936,1749.389557,1825.207855,-5.617224105,76.36099616,3,0.490470442,v1.0,device_001,S,2.088506681
a58793f2-c7c3-4c58-b742-29338e49d8a6,2026-03-03T08:52:16,synthetic,28.59933175,77.14899763,sad,98.94359013,✅ SAFE,0.03756462,0.071543213,1485.32645,1621.55006,-6.637617896,66.02452771,3,0.574389946,v1.0,device_001,S,1.970676031
f3144fe1-5650-478e-9a6d-1d70ba4728a3,2026-03-05T21:52:23,synthetic,28.60417658,77.04128226,fear,77.97874124,✅ SAFE,0.030334432,0.105988929,2448.453377,1564.317915,-7.254012116,59.45350222,3,0.613022107,v1.0,device_001,S,3.159639597
ae498b76-cd0d-42d6-86bd-4e5e87fceb05,2026-03-06T10:13:25,synthetic,28.60890346,77.03736213,fear,88.46743069,✅ SAFE,0.023206708,0.080579869,1697.738404,1749.509133,-7.139495052,53.53242667,3,0.50159726,v1.0,device_001,S,2.463000084
de88a378-6a37-44f3-828d-3977b9b23a03,2026-03-02T18:53:52,synthetic,28.61102093,77.21209568,sad,86.00185761,✅ SAFE,0.025063832,0.082135541,1493.302351,1317.70889,-4.763751294,68.46525069,3,0.673635844,v1.0,device_001,S,0.497879801
31f4d4be-fd26-4352-ad14-3994b32a0555,2026-03-06T10:33:40,synthetic,28.60758338,77.0274114,angry,78.48174341,✅ SAFE,0.026057057,0.080767364,1660.650523,1780.331643,-7.113262132,59.21629144,3,0.667547944,v1.0,device_001,S,1.993568881
2e7634b6-c507-4a0a-8def-15ad931a1446,2026-03-06T08:14:56,synthetic,28.61483093,77.2097807,disgust,83.56952162,✅ SAFE,0.019580952,0.090673709,2022.47095,2191.784154,-7.024524904,71.05114619,3,0.683243347,v1.0,device_001,S,0.543988585
51afe41e-e21e-4ebb-adec-d25be6f09f0b,2026-03-02T17:54:09,synthetic,28.57430024,77.19432711,fear,100,⚠️ CAUTION,0.031948613,0.075995962,1749.6726,1845.81087,-6.391789201,63.29508632,3,0.585567271,v1.0,device_001,C,2.388133117
403c3350-76e8-405a-9a32-ab4a3f319f30,2026-03-01T14:42:17,synthetic,28.58396329,77.1978504,sad,70.60590657,⚠️ CAUTION,0.004708181,0.063089731,2150.823159,2123.471277,-8.467997047,58.29153144,3,0.622347868,v1.0,device_001,C,0.809778111
1cf31282-8180-428d-8cd6-8691bebde64d,2026-03-06T16:41:31,synthetic,28.581078,77.19623968,fear,60.34053829,⚠️ CAUTION,0.025451621,0.07424666,1397.691163,1909.05492,-6.606147886,88.94247444,3,0.920707708,v1.0,device_001,C,2.83133446
5d6a57a3-8303-4cac-be95-89e99c360598,2026-03-05T17:53:53,synthetic,28.62773066,77.20140197,angry,51.38119374,✅ SAFE,0.024979904,0.087681072,1973.842306,1294.905827,-5.554497322,84.05356265,3,0.600697401,v1.0,device_001,S,1.280911699
ed876dba-38e5-4f8c-9ffa-d20118dbc99b,2026-03-05T23:06:52,synthetic,28.60453403,77.03538533,neutral,48.17022859,✅ SAFE,0.016084966,0.057465471,1504.70038,1778.534921,-6.324466173,75.18812495,3,0.316000953,v1.0,device_001,S,4.150256642
b7b13e76-f802-48b1-a245-fb37385287c0,2026-03-04T22:09:47,synthetic,28.60433159,77.04234953,sad,71.03416975,✅ SAFE,0.008412314,0.079050343,1783.563646,1615.315613,-9.514053996,82.73463758,3,0.39967555,v1.0,device_001,S,2.970182365
623c7c96-1a60-4967-8e50-6a19f42013d1,2026-03-02T07:23:28,synthetic,28.63227176,77.17955446,angry,67.85704164,✅ SAFE,0.025443908,0.089032326,1240.676899,2223.546961,-9.20548254,76.71009044,3,0.899826479,v1.0,device_001,S,1.03681938
2b04788f-2d7d-4f23-96a6-d748feefa05f,2026-03-02T10:42:01,synthetic,28.62211825,77.17945635,sad,55.02752319,✅ SAFE,0.008406854,0.065169477,1829.293351,1617.955197,-5.608764231,60.85678572,3,0.411087443,v1.0,device_001,S,1.295041238
7e7bbbb8-f86e-4bf3-b1a2-d7b1f4295f12,2026-03-06T12:58:39,synthetic,28.65942069,77.21918288,sad,100,✅ SAFE,0.009100249,0.078756955,1985.208405,1748.099405,-7.096734317,84.46583289,3,0.524642762,v1.0,device_001,S,1.936791927
f83fce87-25b2-41eb-8c61-1f6273dd6eb1,2026-03-06T13:59:59,synthetic,28.61321938,77.21904856,angry,80.6004576,✅ SAFE,0.013863518,0.076958746,2016.530129,1879.757146,-6.651586152,55.1747909,3,0.580573345,v1.0,device_001,S,2.037214225
